Variable,PM2.5,NO2,PM10,O3
PM2.5,1,0.5587224647722684,0.93995935782848,-0.22741471349031558
NO2,0.5587224647722684,1,0.5401183228467882,-0.6520134857221818
PM10,0.93995935782848,0.5401183228467882,1,-0.14044836465103494
O3,-0.22741471349031558,-0.6520134857221818,-0.14044836465103494,1
