City,Period,Intercept,Slope_NO2,Train_R2,Train_RMSE,Test_R2,Test_RMSE,n_train,n_test
Edinburgh,Pandemic,3.8181818181817984,0.04545454545454553,0.019754749833436936,2.8595750421151047,1,2.9119304323721567,440,3
Edinburgh,Post-Pandemic,3.9407802551946247,0.08016482650171101,0.03987901471899148,3.224198359146218,0.12623783416209844,4.796994190129644,649,5
London,Pandemic,2.1376238993824264,0.30968159262658784,0.363424038628004,4.40506702501854,0.5012606283572302,3.554744310529729,532,10
London,Post-Pandemic,2.1691842620829105,0.3288072428543717,0.38708814801144015,4.57874394153349,0.6923997194688175,3.142081169189672,844,8
Manchester,Pandemic,2.740906154727797,0.20092939539832397,0.2475430735241913,4.391081840394585,0.19683150752912773,6.1484884885902416,555,11
Manchester,Post-Pandemic,1.8992725118615696,0.26809892350812603,0.3854432538456213,4.17069417881253,1,1.2091522279650495,727,2
Sheffield,Pandemic,2.1562369939465325,0.3003286370435916,0.2509438133614712,5.743693186439691,1,2.3830379888656124,380,2
Sheffield,Post-Pandemic,0.9048437783841674,0.3951958795918521,0.3896747995891222,4.298034326452359,NA,0.7587605491522362,742,2
