Date,City,Period,O3,NO2,PM10,PM2.5
2021-05-25,London,Pandemic,55,14,7,4
2021-05-25,Manchester,Pandemic,57,18,13,6
2021-05-25,Sheffield,Pandemic,66,NA,6,3
2021-05-26,Edinburgh,Pandemic,45,NA,6,3
2021-05-26,London,Pandemic,51,21,10,5
2021-05-26,Manchester,Pandemic,51,21,10,5
2021-05-26,Sheffield,Pandemic,60,NA,5,4
2021-05-27,Edinburgh,Pandemic,47,NA,8,4
2021-05-27,London,Pandemic,52,32,15,10
2021-05-27,Manchester,Pandemic,45,30,16,10
2021-05-27,Sheffield,Pandemic,47,NA,11,8
2021-05-28,Edinburgh,Pandemic,51,NA,12,8
2021-05-28,London,Pandemic,55,34,18,13
2021-05-28,Manchester,Pandemic,35,44,25,15
2021-05-28,Sheffield,Pandemic,40,NA,19,13
2021-05-29,Edinburgh,Pandemic,55,NA,13,11
2021-05-29,London,Pandemic,71,21,16,12
2021-05-29,Manchester,Pandemic,48,32,19,13
2021-05-29,Sheffield,Pandemic,56,NA,12,8
2021-05-30,Edinburgh,Pandemic,56,NA,13,10
2021-05-30,London,Pandemic,79,11,18,14
2021-05-30,Manchester,Pandemic,54,23,12,8
2021-05-30,Sheffield,Pandemic,49,NA,15,11
2021-05-31,Edinburgh,Pandemic,58,NA,19,12
2021-05-31,London,Pandemic,79,15,20,15
2021-05-31,Manchester,Pandemic,57,24,17,12
2021-05-31,Sheffield,Pandemic,65,NA,15,11
2021-06-01,Edinburgh,Pandemic,66,NA,19,11
2021-06-01,London,Pandemic,93,21,21,12
2021-06-01,Manchester,Pandemic,78,28,20,11
2021-06-01,Sheffield,Pandemic,63,NA,22,13
2021-06-02,Edinburgh,Pandemic,75,NA,27,13
2021-06-02,London,Pandemic,93,29,23,12
2021-06-02,Manchester,Pandemic,73,27,27,14
2021-06-02,Sheffield,Pandemic,68,NA,25,15
2021-06-03,Edinburgh,Pandemic,60,NA,17,9
2021-06-03,London,Pandemic,72,10,20,13
2021-06-03,Manchester,Pandemic,53,23,25,15
2021-06-03,Sheffield,Pandemic,57,NA,24,16
2021-06-04,Edinburgh,Pandemic,58,NA,7,3
2021-06-04,London,Pandemic,39,17,12,8
2021-06-04,Manchester,Pandemic,54,22,13,6
2021-06-04,Sheffield,Pandemic,52,NA,11,5
2021-06-05,Edinburgh,Pandemic,49,NA,6,3
2021-06-05,London,Pandemic,59,13,12,8
2021-06-05,Manchester,Pandemic,45,22,13,7
2021-06-05,Sheffield,Pandemic,54,NA,10,6
2021-06-06,Edinburgh,Pandemic,59,NA,5,2
2021-06-06,London,Pandemic,49,12,8,5
2021-06-06,Manchester,Pandemic,49,13,9,5
2021-06-06,Sheffield,Pandemic,42,NA,7,5
2021-06-07,Edinburgh,Pandemic,52,NA,11,5
2021-06-07,London,Pandemic,58,9,8,5
2021-06-07,Manchester,Pandemic,42,21,14,8
2021-06-07,Sheffield,Pandemic,43,NA,11,7
2021-06-08,Edinburgh,Pandemic,54,NA,7,4
2021-06-08,London,Pandemic,60,12,12,6
2021-06-08,Manchester,Pandemic,52,16,12,6
2021-06-08,Sheffield,Pandemic,58,NA,9,5
2021-06-09,Edinburgh,Pandemic,41,NA,4,2
2021-06-09,London,Pandemic,62,10,11,5
2021-06-09,Manchester,Pandemic,28,21,11,5
2021-06-09,Sheffield,Pandemic,43,NA,8,4
2021-06-10,Edinburgh,Pandemic,40,NA,5,3
2021-06-10,London,Pandemic,34,8,9,5
2021-06-10,Manchester,Pandemic,27,17,8,3
2021-06-10,Sheffield,Pandemic,43,NA,4,2
2021-06-11,Edinburgh,Pandemic,47,NA,8,4
2021-06-11,London,Pandemic,39,7,9,4
2021-06-11,Manchester,Pandemic,36,15,12,5
2021-06-11,Sheffield,Pandemic,46,NA,9,4
2021-06-12,Edinburgh,Pandemic,53,NA,10,5
2021-06-12,London,Pandemic,61,11,11,7
2021-06-12,Manchester,Pandemic,48,14,13,6
2021-06-12,Sheffield,Pandemic,57,NA,11,6
2021-06-13,Edinburgh,Pandemic,42,NA,5,3
2021-06-13,London,Pandemic,79,10,13,9
2021-06-13,Manchester,Pandemic,36,17,10,5
2021-06-13,Sheffield,Pandemic,42,NA,8,4
2021-06-14,Edinburgh,Pandemic,45,NA,9,4
2021-06-14,London,Pandemic,70,12,14,7
2021-06-14,Manchester,Pandemic,44,14,13,6
2021-06-14,Sheffield,Pandemic,51,NA,9,4
2021-06-15,Edinburgh,Pandemic,50,NA,12,6
2021-06-15,London,Pandemic,67,15,16,7
2021-06-15,Manchester,Pandemic,44,24,16,8
2021-06-15,Sheffield,Pandemic,63,NA,13,6
2021-06-16,Edinburgh,Pandemic,49,NA,7,3
2021-06-16,London,Pandemic,77,12,17,9
2021-06-16,Manchester,Pandemic,44,16,11,4
2021-06-16,Sheffield,Pandemic,62,NA,14,5
2021-06-17,Edinburgh,Pandemic,43,NA,8,4
2021-06-17,London,Pandemic,46,15,15,11
2021-06-17,Manchester,Pandemic,53,13,13,6
2021-06-17,Sheffield,Pandemic,52,NA,9,5
2021-06-18,Edinburgh,Pandemic,43,NA,9,4
2021-06-18,London,Pandemic,49,10,4,2
2021-06-18,Manchester,Pandemic,36,23,14,7
2021-06-18,Sheffield,Pandemic,42,NA,10,5
2021-06-19,Edinburgh,Pandemic,49,NA,9,5
2021-06-19,London,Pandemic,50,9,7,4
2021-06-19,Manchester,Pandemic,40,25,11,7
2021-06-19,Sheffield,Pandemic,43,NA,9,6
2021-06-20,Edinburgh,Pandemic,41,NA,8,6
2021-06-20,London,Pandemic,47,8,8,6
2021-06-20,Manchester,Pandemic,45,14,13,9
2021-06-20,Sheffield,Pandemic,51,NA,13,9
2021-06-21,Edinburgh,Pandemic,52,NA,11,6
2021-06-21,London,Pandemic,57,10,10,6
2021-06-21,Manchester,Pandemic,32,26,16,9
2021-06-21,Sheffield,Pandemic,38,NA,13,8
2021-06-22,Edinburgh,Pandemic,46,NA,14,8
2021-06-22,London,Pandemic,56,7,12,6
2021-06-22,Manchester,Pandemic,43,16,17,10
2021-06-22,Sheffield,Pandemic,50,NA,14,8
2021-06-23,Edinburgh,Pandemic,35,NA,7,4
2021-06-23,London,Pandemic,61,13,12,7
2021-06-23,Manchester,Pandemic,34,23,18,10
2021-06-23,Sheffield,Pandemic,51,NA,15,10
2021-06-24,Edinburgh,Pandemic,25,NA,5,2
2021-06-24,London,Pandemic,39,20,17,11
2021-06-24,Manchester,Pandemic,25,16,12,8
2021-06-24,Sheffield,Pandemic,34,NA,7,4
2021-06-25,Edinburgh,Pandemic,39,NA,5,2
2021-06-25,London,Pandemic,49,11,9,5
2021-06-25,Manchester,Pandemic,25,19,9,5
2021-06-25,Sheffield,Pandemic,33,NA,6,3
2021-06-26,Edinburgh,Pandemic,42,NA,6,3
2021-06-26,London,Pandemic,53,11,11,8
2021-06-26,Manchester,Pandemic,34,19,9,6
2021-06-26,Sheffield,Pandemic,43,NA,10,7
2021-06-27,Edinburgh,Pandemic,40,NA,9,5
2021-06-27,London,Pandemic,64,9,20,16
2021-06-27,Manchester,Pandemic,41,15,10,7
2021-06-27,Sheffield,Pandemic,46,NA,9,7
2021-06-28,Edinburgh,Pandemic,16,NA,15,10
2021-06-28,London,Pandemic,44,12,13,9
2021-06-28,Manchester,Pandemic,28,25,13,8
2021-06-28,Sheffield,Pandemic,35,NA,11,7
2021-06-29,Edinburgh,Pandemic,39,NA,21,10
2021-06-29,London,Pandemic,42,11,15,10
2021-06-29,Manchester,Pandemic,28,25,15,10
2021-06-29,Sheffield,Pandemic,37,NA,14,9
2021-06-30,Edinburgh,Pandemic,50,NA,9,5
2021-06-30,London,Pandemic,49,12,10,6
2021-06-30,Manchester,Pandemic,34,21,20,12
2021-06-30,Sheffield,Pandemic,47,NA,15,10
2021-07-01,Edinburgh,Pandemic,57,NA,12,5
2021-07-01,London,Pandemic,54,17,17,11
2021-07-01,Manchester,Pandemic,46,19,18,11
2021-07-01,Sheffield,Pandemic,48,NA,18,11
2021-07-02,Edinburgh,Pandemic,49,8,13,7
2021-07-02,London,Pandemic,59,12,18,13
2021-07-02,Manchester,Pandemic,45,22,22,16
2021-07-02,Sheffield,Pandemic,50,NA,23,14
2021-07-03,Edinburgh,Pandemic,41,11,17,12
2021-07-03,London,Pandemic,53,9,9,7
2021-07-03,Manchester,Pandemic,28,28,15,11
2021-07-03,Sheffield,Pandemic,34,NA,15,11
2021-07-04,Edinburgh,Pandemic,51,11,13,10
2021-07-04,London,Pandemic,43,4,6,4
2021-07-04,Manchester,Pandemic,18,15,7,4
2021-07-04,Sheffield,Pandemic,24,NA,8,4
2021-07-05,Edinburgh,Pandemic,38,8,7,4
2021-07-05,London,Pandemic,50,7,9,5
2021-07-05,Manchester,Pandemic,21,21,10,5
2021-07-05,Sheffield,Pandemic,39,NA,8,4
2021-07-06,Edinburgh,Pandemic,41,13,7,4
2021-07-06,London,Pandemic,51,7,9,4
2021-07-06,Manchester,Pandemic,28,18,7,4
2021-07-06,Sheffield,Pandemic,40,NA,6,3
2021-07-07,Edinburgh,Pandemic,40,11,7,4
2021-07-07,London,Pandemic,50,5,10,6
2021-07-07,Manchester,Pandemic,27,18,11,6
2021-07-07,Sheffield,Pandemic,36,NA,7,4
2021-07-08,Edinburgh,Pandemic,44,11,8,5
2021-07-08,London,Pandemic,51,8,9,6
2021-07-08,Manchester,Pandemic,38,18,14,8
2021-07-08,Sheffield,Pandemic,58,NA,10,7
2021-07-09,Edinburgh,Pandemic,47,9,11,8
2021-07-09,London,Pandemic,47,11,11,7
2021-07-09,Manchester,Pandemic,37,22,14,9
2021-07-09,Sheffield,Pandemic,53,NA,9,7
2021-07-10,Edinburgh,Pandemic,48,11,12,9
2021-07-10,London,Pandemic,33,21,7,4
2021-07-10,Manchester,Pandemic,31,28,17,12
2021-07-10,Sheffield,Pandemic,38,NA,18,13
2021-07-11,Edinburgh,Pandemic,47,9,12,9
2021-07-11,London,Pandemic,45,10,7,5
2021-07-11,Manchester,Pandemic,33,17,13,9
2021-07-11,Sheffield,Pandemic,39,NA,9,6
2021-07-12,Edinburgh,Pandemic,55,7,14,9
2021-07-12,London,Pandemic,35,23,7,5
2021-07-12,Manchester,Pandemic,27,23,8,6
2021-07-12,Sheffield,Pandemic,39,NA,9,6
2021-07-13,Edinburgh,Pandemic,63,5,6,3
2021-07-13,London,Pandemic,52,13,15,9
2021-07-13,Manchester,Pandemic,37,17,10,5
2021-07-13,Sheffield,Pandemic,52,NA,9,5
2021-07-14,London,Pandemic,54,12,13,7
2021-07-14,Manchester,Pandemic,34,14,10,5
2021-07-14,Sheffield,Pandemic,47,NA,8,5
2021-07-15,London,Pandemic,39,10,10,5
2021-07-15,Manchester,Pandemic,35,14,14,6
2021-07-15,Sheffield,Pandemic,43,NA,12,6
2021-07-16,Edinburgh,Pandemic,33,13,8,4
2021-07-16,London,Pandemic,51,11,13,7
2021-07-16,Manchester,Pandemic,26,21,17,8
2021-07-16,Sheffield,Pandemic,39,NA,13,7
2021-07-17,Edinburgh,Pandemic,34,9,8,3
2021-07-17,London,Pandemic,50,14,8,5
2021-07-17,Manchester,Pandemic,28,21,15,7
2021-07-17,Sheffield,Pandemic,38,NA,11,6
2021-07-18,Edinburgh,Pandemic,35,10,4,2
2021-07-18,London,Pandemic,57,22,12,8
2021-07-18,Manchester,Pandemic,41,16,16,8
2021-07-18,Sheffield,Pandemic,51,NA,14,8
2021-07-19,Edinburgh,Pandemic,46,10,11,6
2021-07-19,London,Pandemic,65,23,18,10
2021-07-19,Manchester,Pandemic,42,19,18,7
2021-07-19,Sheffield,Pandemic,47,NA,20,10
2021-07-20,Edinburgh,Pandemic,46,9,13,8
2021-07-20,London,Pandemic,66,27,20,12
2021-07-20,Manchester,Pandemic,39,22,21,9
2021-07-20,Sheffield,Pandemic,48,NA,27,13
2021-07-21,Edinburgh,Pandemic,58,11,20,13
2021-07-21,London,Pandemic,73,26,28,18
2021-07-21,Manchester,Pandemic,48,32,27,14
2021-07-21,Sheffield,Pandemic,60,NA,31,18
2021-07-22,Edinburgh,Pandemic,51,9,14,9
2021-07-22,London,Pandemic,72,23,27,19
2021-07-22,Manchester,Pandemic,62,28,29,15
2021-07-22,Sheffield,Pandemic,58,NA,29,15
2021-07-23,Edinburgh,Pandemic,50,7,13,8
2021-07-23,London,Pandemic,57,11,14,8
2021-07-23,Manchester,Pandemic,39,22,21,12
2021-07-23,Sheffield,Pandemic,41,NA,20,12
2021-07-24,Edinburgh,Pandemic,47,8,12,7
2021-07-24,London,Pandemic,55,15,25,17
2021-07-24,Manchester,Pandemic,40,18,17,10
2021-07-24,Sheffield,Pandemic,47,NA,18,10
2021-07-25,Edinburgh,Pandemic,67,5,11,7
2021-07-25,London,Pandemic,52,12,18,14
2021-07-25,Manchester,Pandemic,50,16,15,9
2021-07-25,Sheffield,Pandemic,56,NA,18,10
2021-07-26,Edinburgh,Pandemic,75,13,20,11
2021-07-26,London,Pandemic,59,11,23,14
2021-07-26,Manchester,Pandemic,49,19,21,12
2021-07-26,Sheffield,Pandemic,72,NA,18,11
2021-07-27,Edinburgh,Pandemic,63,7,15,9
2021-07-27,London,Pandemic,69,8,12,6
2021-07-27,Manchester,Pandemic,43,24,27,17
2021-07-27,Sheffield,Pandemic,61,NA,18,12
2021-07-28,Edinburgh,Pandemic,60,9,5,3
2021-07-28,London,Pandemic,46,8,14,5
2021-07-28,Manchester,Pandemic,28,24,10,6
2021-07-28,Sheffield,Pandemic,50,NA,8,5
2021-07-29,Edinburgh,Pandemic,61,17,6,3
2021-07-29,London,Pandemic,44,7,12,5
2021-07-29,Manchester,Pandemic,28,19,12,5
2021-07-29,Sheffield,Pandemic,42,NA,9,5
2021-07-30,Edinburgh,Pandemic,60,13,6,3
2021-07-30,London,Pandemic,46,7,8,4
2021-07-30,Manchester,Pandemic,24,25,9,5
2021-07-30,Sheffield,Pandemic,28,NA,9,6
2021-07-31,Edinburgh,Pandemic,39,11,5,3
2021-07-31,London,Pandemic,45,12,6,3
2021-07-31,Manchester,Pandemic,36,16,26,8
2021-07-31,Sheffield,Pandemic,55,NA,5,3
2021-08-01,Edinburgh,Pandemic,53,6,4,2
2021-08-01,London,Pandemic,38,10,8,4
2021-08-01,Manchester,Pandemic,34,17,26,9
2021-08-01,Sheffield,Pandemic,46,NA,8,4
2021-08-02,Edinburgh,Pandemic,55,9,8,4
2021-08-02,London,Pandemic,50,14,8,4
2021-08-02,Manchester,Pandemic,37,20,14,6
2021-08-02,Sheffield,Pandemic,47,NA,10,5
2021-08-03,Edinburgh,Pandemic,43,16,8,5
2021-08-03,London,Pandemic,53,19,11,7
2021-08-03,Manchester,Pandemic,39,29,15,8
2021-08-03,Sheffield,Pandemic,53,NA,11,7
2021-08-04,Edinburgh,Pandemic,58,8,6,4
2021-08-04,London,Pandemic,68,19,12,7
2021-08-04,Manchester,Pandemic,35,41,18,11
2021-08-04,Sheffield,Pandemic,48,NA,16,10
2021-08-05,Edinburgh,Pandemic,80,7,12,6
2021-08-05,London,Pandemic,60,9,9,6
2021-08-05,Manchester,Pandemic,24,39,13,7
2021-08-05,Sheffield,Pandemic,50,NA,13,7
2021-08-06,Edinburgh,Pandemic,65,9,10,6
2021-08-06,London,Pandemic,49,6,9,4
2021-08-06,Manchester,Pandemic,24,19,9,5
2021-08-06,Sheffield,Pandemic,41,NA,7,3
2021-08-07,Edinburgh,Pandemic,45,7,6,2
2021-08-07,London,Pandemic,49,7,6,3
2021-08-07,Manchester,Pandemic,28,20,9,6
2021-08-07,Sheffield,Pandemic,47,NA,7,4
2021-08-08,Edinburgh,Pandemic,48,10,7,4
2021-08-08,London,Pandemic,51,5,9,5
2021-08-08,Manchester,Pandemic,33,19,10,5
2021-08-08,Sheffield,Pandemic,52,NA,6,3
2021-08-09,Edinburgh,Pandemic,43,14,5,3
2021-08-09,London,Pandemic,38,10,9,4
2021-08-09,Manchester,Pandemic,22,21,11,6
2021-08-09,Sheffield,Pandemic,35,NA,8,5
2021-08-10,Edinburgh,Pandemic,54,12,7,4
2021-08-10,London,Pandemic,41,11,12,6
2021-08-10,Manchester,Pandemic,32,16,11,7
2021-08-10,Sheffield,Pandemic,44,NA,9,6
2021-08-11,Edinburgh,Pandemic,46,8,6,3
2021-08-11,London,Pandemic,49,11,9,5
2021-08-11,Manchester,Pandemic,21,24,12,7
2021-08-11,Sheffield,Pandemic,33,NA,9,5
2021-08-12,Edinburgh,Pandemic,44,5,9,4
2021-08-12,London,Pandemic,38,9,9,5
2021-08-12,Manchester,Pandemic,26,17,14,7
2021-08-12,Sheffield,Pandemic,44,NA,11,5
2021-08-13,Edinburgh,Pandemic,52,4,10,5
2021-08-13,London,Pandemic,40,10,14,7
2021-08-13,Manchester,Pandemic,31,15,17,7
2021-08-13,Sheffield,Pandemic,44,NA,12,5
2021-08-14,Edinburgh,Pandemic,53,8,10,5
2021-08-14,London,Pandemic,49,9,12,7
2021-08-14,Manchester,Pandemic,26,23,14,9
2021-08-14,Sheffield,Pandemic,44,NA,10,6
2021-08-15,Edinburgh,Pandemic,48,11,9,6
2021-08-15,London,Pandemic,53,7,8,5
2021-08-15,Manchester,Pandemic,32,15,9,6
2021-08-15,Sheffield,Pandemic,44,NA,8,5
2021-08-16,Edinburgh,Pandemic,62,11,9,6
2021-08-16,London,Pandemic,49,15,18,10
2021-08-16,Manchester,Pandemic,48,14,22,15
2021-08-16,Sheffield,Pandemic,62,NA,17,12
2021-08-17,Edinburgh,Pandemic,47,13,6,2
2021-08-17,London,Pandemic,34,18,10,4
2021-08-17,Manchester,Pandemic,34,14,8,4
2021-08-17,Sheffield,Pandemic,50,NA,4,2
2021-08-18,Edinburgh,Pandemic,52,13,8,4
2021-08-18,London,Pandemic,41,12,9,4
2021-08-18,Manchester,Pandemic,29,17,9,5
2021-08-18,Sheffield,Pandemic,47,NA,4,2
2021-08-19,Edinburgh,Pandemic,NA,10,13,6
2021-08-19,London,Pandemic,49,11,10,5
2021-08-19,Manchester,Pandemic,18,27,12,8
2021-08-19,Sheffield,Pandemic,43,NA,7,4
2021-08-20,Edinburgh,Pandemic,NA,15,13,7
2021-08-20,London,Pandemic,36,12,8,3
2021-08-20,Manchester,Pandemic,18,25,10,6
2021-08-20,Sheffield,Pandemic,36,NA,8,4
2021-08-21,Edinburgh,Pandemic,27,12,5,3
2021-08-21,London,Pandemic,37,15,8,6
2021-08-21,Manchester,Pandemic,13,29,8,5
2021-08-21,Sheffield,Pandemic,25,NA,8,5
2021-08-22,Edinburgh,Pandemic,35,15,14,10
2021-08-22,London,Pandemic,43,11,8,5
2021-08-22,Manchester,Pandemic,36,13,8,5
2021-08-22,Sheffield,Pandemic,35,NA,9,6
2021-08-23,Edinburgh,Pandemic,47,13,10,8
2021-08-23,London,Pandemic,60,7,8,5
2021-08-23,Manchester,Pandemic,43,19,11,7
2021-08-24,Edinburgh,Pandemic,43,19,13,9
2021-08-24,London,Pandemic,63,9,10,5
2021-08-24,Manchester,Pandemic,36,28,12,7
2021-08-25,Edinburgh,Pandemic,44,11,11,7
2021-08-25,London,Pandemic,57,7,6,3
2021-08-25,Manchester,Pandemic,29,27,16,9
2021-08-25,Sheffield,Pandemic,45,NA,13,8
2021-08-26,Edinburgh,Pandemic,61,4,13,6
2021-08-26,London,Pandemic,60,5,11,5
2021-08-26,Manchester,Pandemic,42,17,14,7
2021-08-26,Sheffield,Pandemic,56,NA,11,6
2021-08-27,Edinburgh,Pandemic,66,6,12,6
2021-08-27,London,Pandemic,59,8,12,6
2021-08-27,Manchester,Pandemic,45,21,12,7
2021-08-27,Sheffield,Pandemic,51,NA,11,6
2021-08-28,Edinburgh,Pandemic,49,19,13,7
2021-08-28,London,Pandemic,49,11,11,6
2021-08-28,Manchester,Pandemic,42,22,14,8
2021-08-28,Sheffield,Pandemic,47,NA,13,8
2021-08-29,Edinburgh,Pandemic,59,4,6,3
2021-08-29,London,Pandemic,51,13,9,5
2021-08-29,Manchester,Pandemic,41,21,15,9
2021-08-29,Sheffield,Pandemic,53,NA,12,7
2021-08-30,Edinburgh,Pandemic,68,6,5,2
2021-08-30,London,Pandemic,63,4,8,4
2021-08-30,Manchester,Pandemic,49,16,10,6
2021-08-30,Sheffield,Pandemic,57,NA,8,5
2021-08-31,Edinburgh,Pandemic,59,12,8,4
2021-08-31,London,Pandemic,62,7,9,5
2021-08-31,Manchester,Pandemic,47,22,12,7
2021-08-31,Sheffield,Pandemic,56,NA,9,5
2021-09-01,Edinburgh,Pandemic,55,10,15,8
2021-09-01,London,Pandemic,60,7,13,8
2021-09-01,Manchester,Pandemic,43,23,19,11
2021-09-01,Sheffield,Pandemic,54,NA,19,11
2021-09-02,Edinburgh,Pandemic,65,6,15,8
2021-09-02,London,Pandemic,67,7,15,9
2021-09-02,Manchester,Pandemic,47,24,19,11
2021-09-02,Sheffield,Pandemic,61,NA,19,10
2021-09-03,Edinburgh,Pandemic,59,6,11,7
2021-09-03,London,Pandemic,70,14,21,14
2021-09-03,Manchester,Pandemic,42,27,20,13
2021-09-03,Sheffield,Pandemic,52,NA,23,14
2021-09-04,Edinburgh,Pandemic,55,10,5,3
2021-09-04,London,Pandemic,72,13,22,15
2021-09-04,Manchester,Pandemic,43,29,21,14
2021-09-04,Sheffield,Pandemic,54,NA,20,14
2021-09-05,Edinburgh,Pandemic,52,16,15,11
2021-09-05,London,Pandemic,75,20,25,18
2021-09-05,Manchester,Pandemic,61,27,21,14
2021-09-05,Sheffield,Pandemic,56,NA,21,13
2021-09-06,Edinburgh,Pandemic,56,13,15,12
2021-09-06,London,Pandemic,52,45,29,20
2021-09-06,Manchester,Pandemic,36,44,38,26
2021-09-06,Sheffield,Pandemic,41,NA,34,22
2021-09-07,Edinburgh,Pandemic,51,12,11,7
2021-09-07,London,Pandemic,68,46,36,25
2021-09-07,Manchester,Pandemic,42,48,39,25
2021-09-07,Sheffield,Pandemic,52,NA,37,25
2021-09-08,Edinburgh,Pandemic,49,25,27,18
2021-09-08,London,Pandemic,76,38,40,28
2021-09-08,Manchester,Pandemic,60,53,31,14
2021-09-08,Sheffield,Pandemic,65,NA,32,16
2021-09-09,Edinburgh,Pandemic,87,13,26,20
2021-09-09,London,Pandemic,54,11,12,9
2021-09-09,Manchester,Pandemic,35,41,25,14
2021-09-09,Sheffield,Pandemic,40,NA,27,16
2021-09-10,Edinburgh,Pandemic,45,18,10,8
2021-09-10,London,Pandemic,54,11,7,4
2021-09-10,Manchester,Pandemic,26,22,14,9
2021-09-10,Sheffield,Pandemic,40,NA,8,4
2021-09-11,Edinburgh,Pandemic,52,13,4,2
2021-09-11,London,Pandemic,58,9,9,6
2021-09-11,Manchester,Pandemic,41,16,11,6
2021-09-11,Sheffield,Pandemic,55,NA,7,5
2021-09-12,Edinburgh,Pandemic,54,12,4,2
2021-09-12,London,Pandemic,49,15,9,6
2021-09-12,Manchester,Pandemic,33,23,9,6
2021-09-12,Sheffield,Pandemic,52,NA,7,4
2021-09-13,Edinburgh,Pandemic,54,9,6,3
2021-09-13,London,Pandemic,59,15,10,4
2021-09-13,Manchester,Pandemic,31,33,13,7
2021-09-13,Sheffield,Pandemic,44,NA,11,5
2021-09-14,Edinburgh,Pandemic,31,18,10,7
2021-09-14,London,Pandemic,23,28,16,12
2021-09-14,Manchester,Pandemic,26,32,11,7
2021-09-14,Sheffield,Pandemic,28,NA,17,12
2021-09-15,Edinburgh,Pandemic,32,21,12,8
2021-09-15,London,Pandemic,46,22,14,10
2021-09-15,Sheffield,Pandemic,47,NA,10,7
2021-09-16,Edinburgh,Pandemic,64,9,7,3
2021-09-16,London,Pandemic,39,23,15,10
2021-09-16,Sheffield,Pandemic,34,NA,13,8
2021-09-17,Edinburgh,Pandemic,54,8,4,2
2021-09-17,London,Pandemic,57,13,11,7
2021-09-17,Manchester,Pandemic,28,NA,15,9
2021-09-17,Sheffield,Pandemic,25,NA,14,8
2021-09-18,Edinburgh,Pandemic,43,12,6,4
2021-09-18,London,Pandemic,48,32,19,14
2021-09-18,Manchester,Pandemic,36,NA,15,9
2021-09-18,Sheffield,Pandemic,30,NA,16,11
2021-09-19,Edinburgh,Pandemic,46,12,5,3
2021-09-19,London,Pandemic,29,24,27,22
2021-09-19,Manchester,Pandemic,41,NA,10,6
2021-09-19,Sheffield,Pandemic,47,NA,11,8
2021-09-20,Edinburgh,Pandemic,38,14,7,3
2021-09-20,London,Pandemic,40,17,11,7
2021-09-20,Manchester,Pandemic,21,NA,16,9
2021-09-20,Sheffield,Pandemic,46,NA,6,3
2021-09-21,Edinburgh,Pandemic,50,8,17,9
2021-09-21,London,Pandemic,22,32,14,9
2021-09-21,Manchester,Pandemic,21,NA,16,9
2021-09-21,Sheffield,Pandemic,29,NA,13,7
2021-09-22,Edinburgh,Pandemic,64,5,6,3
2021-09-22,London,Pandemic,33,24,15,9
2021-09-22,Manchester,Pandemic,26,NA,14,8
2021-09-22,Sheffield,Pandemic,41,NA,10,6
2021-09-23,Edinburgh,Pandemic,59,11,8,4
2021-09-23,London,Pandemic,37,19,10,5
2021-09-23,Manchester,Pandemic,40,21,16,8
2021-09-23,Sheffield,Pandemic,53,NA,12,7
2021-09-24,Edinburgh,Pandemic,52,10,5,2
2021-09-24,London,Pandemic,44,15,11,6
2021-09-24,Manchester,Pandemic,26,26,13,7
2021-09-24,Sheffield,Pandemic,41,NA,9,5
2021-09-25,Edinburgh,Pandemic,49,5,3,2
2021-09-25,London,Pandemic,25,16,10,7
2021-09-25,Manchester,Pandemic,17,30,12,8
2021-09-25,Sheffield,Pandemic,24,NA,9,5
2021-09-26,Edinburgh,Pandemic,58,3,3,2
2021-09-26,London,Pandemic,47,17,17,13
2021-09-26,Manchester,Pandemic,36,18,13,8
2021-09-26,Sheffield,Pandemic,41,NA,11,7
2021-09-27,Edinburgh,Pandemic,65,9,4,2
2021-09-27,London,Pandemic,65,7,6,3
2021-09-27,Manchester,Pandemic,48,20,8,4
2021-09-27,Sheffield,Pandemic,57,NA,6,3
2021-09-28,Edinburgh,Pandemic,56,10,5,2
2021-09-28,London,Pandemic,57,11,8,4
2021-09-28,Manchester,Pandemic,30,31,8,4
2021-09-28,Sheffield,Pandemic,40,NA,8,4
2021-09-29,Edinburgh,Pandemic,44,17,7,3
2021-09-29,London,Pandemic,41,15,6,3
2021-09-29,Manchester,Pandemic,34,28,11,5
2021-09-29,Sheffield,Pandemic,46,NA,7,3
2021-09-30,Edinburgh,Pandemic,52,8,5,2
2021-09-30,London,Pandemic,50,11,7,3
2021-09-30,Manchester,Pandemic,31,26,10,6
2021-09-30,Sheffield,Pandemic,45,NA,6,3
2021-10-01,Edinburgh,Pandemic,57,7,5,2
2021-10-01,London,Pandemic,55,13,6,3
2021-10-01,Manchester,Pandemic,38,25,12,5
2021-10-01,Sheffield,Pandemic,53,NA,7,3
2021-10-02,Edinburgh,Pandemic,49,13,5,3
2021-10-02,London,Pandemic,47,14,6,3
2021-10-02,Manchester,Pandemic,32,31,9,5
2021-10-02,Sheffield,Pandemic,33,NA,8,5
2021-10-03,Edinburgh,Pandemic,65,3,3,2
2021-10-03,London,Pandemic,52,8,7,3
2021-10-03,Manchester,Pandemic,36,22,9,5
2021-10-03,Sheffield,Pandemic,48,NA,6,3
2021-10-04,Edinburgh,Pandemic,50,12,6,3
2021-10-04,London,Pandemic,57,12,9,4
2021-10-04,Manchester,Pandemic,30,32,8,4
2021-10-04,Sheffield,Pandemic,44,NA,8,4
2021-10-05,Edinburgh,Pandemic,41,16,5,2
2021-10-05,London,Pandemic,59,9,5,2
2021-10-05,Manchester,Pandemic,39,21,6,3
2021-10-05,Sheffield,Pandemic,51,NA,4,2
2021-10-06,Edinburgh,Pandemic,43,17,4,1
2021-10-06,London,Pandemic,40,21,9,4
