Date,City,Period,O3,NO2,PM10,PM2.5
2020-01-27,Manchester,Pandemic,24,45,11,5
2020-01-27,Sheffield,Pandemic,50,25,10,7
2020-01-28,Edinburgh,Pandemic,62,18,4,2
2020-01-28,London,Pandemic,58,25,6,3
2020-01-28,Manchester,Pandemic,37,36,11,5
2020-01-28,Sheffield,Pandemic,67,13,7,4
2020-01-29,London,Pandemic,51,27,14,7
2020-01-29,Manchester,Pandemic,42,34,16,7
2020-01-29,Sheffield,Pandemic,68,13,11,6
2020-01-30,London,Pandemic,48,21,7,4
2020-01-30,Manchester,Pandemic,34,35,14,6
2020-01-30,Sheffield,Pandemic,59,14,8,5
2020-01-31,Edinburgh,Pandemic,64,10,6,3
2020-01-31,London,Pandemic,54,16,3,2
2020-01-31,Manchester,Pandemic,25,38,8,4
2020-01-31,Sheffield,Pandemic,58,12,4,2
2020-02-01,Edinburgh,Pandemic,62,20,5,3
2020-02-01,London,Pandemic,66,13,13,7
2020-02-01,Manchester,Pandemic,45,26,20,10
2020-02-01,Sheffield,Pandemic,72,8,11,6
2020-02-02,Edinburgh,Pandemic,52,20,5,3
2020-02-02,London,Pandemic,61,16,15,9
2020-02-02,Manchester,Pandemic,31,35,13,8
2020-02-02,Sheffield,Pandemic,58,16,11,7
2020-02-03,Edinburgh,Pandemic,71,16,10,5
2020-02-03,London,Pandemic,59,20,15,8
2020-02-03,Manchester,Pandemic,50,24,20,8
2020-02-03,Sheffield,Pandemic,71,11,12,6
2020-02-04,Edinburgh,Pandemic,47,41,10,5
2020-02-04,London,Pandemic,51,23,12,6
2020-02-04,Manchester,Pandemic,43,30,20,10
2020-02-04,Sheffield,Pandemic,55,22,12,6
2020-02-05,Edinburgh,Pandemic,53,27,12,6
2020-02-05,London,Pandemic,7,56,25,16
2020-02-05,Manchester,Pandemic,10,61,31,18
2020-02-05,Sheffield,Pandemic,20,48,20,12
2020-02-06,Edinburgh,Pandemic,38,32,14,10
2020-02-06,London,Pandemic,5,63,24,18
2020-02-06,Manchester,Pandemic,4,67,33,21
2020-02-06,Sheffield,Pandemic,10,56,30,21
2020-02-07,Edinburgh,Pandemic,22,45,17,11
2020-02-07,London,Pandemic,21,43,29,21
2020-02-07,Manchester,Pandemic,10,51,32,22
2020-02-07,Sheffield,Pandemic,18,41,36,26
2020-02-08,Edinburgh,Pandemic,72,8,6,3
2020-02-08,London,Pandemic,59,17,15,8
2020-02-08,Manchester,Pandemic,41,26,16,8
2020-02-08,Sheffield,Pandemic,63,12,14,7
2020-02-09,Edinburgh,Pandemic,72,16,5,3
2020-02-09,London,Pandemic,76,5,10,6
2020-02-09,Manchester,Pandemic,59,12,8,4
2020-02-09,Sheffield,Pandemic,72,6,5,3
2020-02-10,Edinburgh,Pandemic,74,15,4,2
2020-02-10,London,Pandemic,69,13,9,5
2020-02-10,Manchester,Pandemic,57,22,17,7
