Date,City,Pollutant,Concentration,Year,Month,YearMonth,Period
2020-01-05,London,NO2,18,2020,1,2020-01-01,Pandemic
2020-01-05,London,SO2,1,2020,1,2020-01-01,Pandemic
2020-01-05,London,CO,0.12,2020,1,2020-01-01,Pandemic
2020-01-05,London,PM10,5,2020,1,2020-01-01,Pandemic
2020-01-05,London,PM2.5,4,2020,1,2020-01-01,Pandemic
2020-01-05,Manchester,O3,33,2020,1,2020-01-01,Pandemic
2020-01-05,Manchester,NO2,29,2020,1,2020-01-01,Pandemic
2020-01-05,Manchester,SO2,1,2020,1,2020-01-01,Pandemic
2020-01-05,Manchester,PM10,6,2020,1,2020-01-01,Pandemic
2020-01-05,Manchester,PM2.5,4,2020,1,2020-01-01,Pandemic
2020-01-05,Sheffield,O3,63,2020,1,2020-01-01,Pandemic
2020-01-05,Sheffield,NO2,13,2020,1,2020-01-01,Pandemic
2020-01-05,Sheffield,PM10,4,2020,1,2020-01-01,Pandemic
2020-01-05,Sheffield,PM2.5,3,2020,1,2020-01-01,Pandemic
2020-01-06,Edinburgh,O3,73,2020,1,2020-01-01,Pandemic
2020-01-06,Edinburgh,NO2,11,2020,1,2020-01-01,Pandemic
2020-01-06,Edinburgh,PM10,6,2020,1,2020-01-01,Pandemic
2020-01-06,Edinburgh,PM2.5,3,2020,1,2020-01-01,Pandemic
2020-01-06,London,NO2,20,2020,1,2020-01-01,Pandemic
2020-01-06,London,SO2,2,2020,1,2020-01-01,Pandemic
2020-01-06,London,CO,0.14,2020,1,2020-01-01,Pandemic
2020-01-06,London,PM10,11,2020,1,2020-01-01,Pandemic
2020-01-06,London,PM2.5,7,2020,1,2020-01-01,Pandemic
2020-01-06,Manchester,O3,33,2020,1,2020-01-01,Pandemic
2020-01-06,Manchester,NO2,36,2020,1,2020-01-01,Pandemic
2020-01-06,Manchester,SO2,1,2020,1,2020-01-01,Pandemic
2020-01-06,Manchester,PM10,13,2020,1,2020-01-01,Pandemic
2020-01-06,Manchester,PM2.5,7,2020,1,2020-01-01,Pandemic
2020-01-06,Sheffield,O3,61,2020,1,2020-01-01,Pandemic
