City,Pollutant,YearMonth,Monthly_Mean,Monthly_SD,n_days
Edinburgh,NO2,2022-03-01,21.225806451612904,9.79016403478292,31
Edinburgh,NO2,2022-04-01,15.2,6.4615574080813545,30
Edinburgh,NO2,2022-05-01,10.258064516129032,3.2758484085346384,31
Edinburgh,NO2,2022-06-01,9.6,3.389639386780516,30
Edinburgh,NO2,2022-07-01,10.466666666666667,4.890055590498018,30
Edinburgh,NO2,2022-08-01,8.448275862068966,3.8967587895633735,29
Edinburgh,NO2,2022-09-01,11.066666666666666,3.4031763391576257,30
Edinburgh,NO2,2022-10-01,7.67741935483871,3.57199381087737,31
Edinburgh,NO2,2022-11-01,14.233333333333333,10.496907043089616,30
Edinburgh,NO2,2022-12-01,19.903225806451612,13.709740670315826,31
Edinburgh,NO2,2023-01-01,14.161290322580646,8.40673053449258,31
Edinburgh,NO2,2023-02-01,12.37037037037037,6.564169337267214,27
Edinburgh,NO2,2023-03-01,12.172413793103448,4.559675470259772,29
Edinburgh,NO2,2023-04-01,11.4,4.537962477618767,30
Edinburgh,NO2,2023-05-01,9.612903225806452,3.200806350019098,31
Edinburgh,NO2,2023-06-01,6.266666666666667,2.1485092399203194,30
Edinburgh,NO2,2023-07-01,6.964285714285714,3.5222272294791908,28
Edinburgh,NO2,2023-08-01,9.428571428571429,5.18850989404809,28
Edinburgh,NO2,2023-09-01,8.866666666666667,4.336956928803749,30
Edinburgh,NO2,2023-10-01,9.225806451612904,5.103656711413591,31
Edinburgh,NO2,2023-11-01,21.133333333333333,10.108833055656149,30
Edinburgh,NO2,2023-12-01,15.548387096774194,11.41881111639158,31
Edinburgh,NO2,2024-01-01,17.483870967741936,11.907619319136062,31
Edinburgh,NO2,2024-02-01,13.555555555555555,8.135077576734421,27
Edinburgh,NO2,2024-03-01,9.935483870967742,3.539637306005308,31
Edinburgh,NO2,2024-04-01,8.266666666666667,3.814069537486385,30
Edinburgh,NO2,2024-05-01,10.419354838709678,3.128089870281725,31
Edinburgh,NO2,2024-06-01,7.2727272727272725,1.2720777563426766,11
Edinburgh,NO2,2024-08-01,5.033333333333333,2.3850588561137096,30
Edinburgh,NO2,2024-09-01,9.321428571428571,3.761929877352368,28
Edinburgh,NO2,2024-10-01,10.774193548387096,6.264767499912266,31
Edinburgh,NO2,2024-11-01,20.4,10.762642926280733,30
Edinburgh,NO2,2024-12-01,13.709677419354838,10.605638589565134,31
Edinburgh,O3,2020-01-01,61.5,9.612877165937752,28
Edinburgh,O3,2020-02-01,61.241379310344826,12.69323546622315,29
Edinburgh,O3,2020-03-01,63.96774193548387,11.954033826754165,31
Edinburgh,O3,2020-04-01,73.36666666666666,9.367895775699463,30
Edinburgh,O3,2020-05-01,67.16129032258064,6.919040271567285,31
Edinburgh,O3,2020-06-01,63.63333333333333,13.29371988969781,30
Edinburgh,O3,2020-07-01,40.724137931034484,8.794870874241491,29
Edinburgh,O3,2020-08-01,51,11.972189997378647,31
Edinburgh,O3,2020-09-01,43.666666666666664,11.405785988829903,30
Edinburgh,O3,2020-10-01,45.225806451612904,9.759472927774173,31
Edinburgh,O3,2020-11-01,45.166666666666664,19.583742964656864,30
Edinburgh,O3,2020-12-01,38.064516129032256,17.49654343743542,31
Edinburgh,O3,2021-01-01,42.12903225806452,14.912504675570926,31
Edinburgh,O3,2021-02-01,66.84615384615384,8.417564054724183,26
Edinburgh,O3,2021-03-01,56.70967741935484,12.277875897692557,31
Edinburgh,O3,2021-04-01,64.26666666666667,8.01693609602921,30
Edinburgh,O3,2021-05-01,60.064516129032256,8.306364964575732,31
Edinburgh,O3,2021-06-01,46.666666666666664,11.31777160146769,30
Edinburgh,O3,2021-07-01,49.86206896551724,10.538108185909415,29
Edinburgh,O3,2021-08-01,51.93103448275862,10.683535511921265,29
Edinburgh,O3,2021-09-01,53.03333333333333,10.675409491728734,30
Edinburgh,O3,2021-10-01,50.38709677419355,12.117968529845363,31
Edinburgh,O3,2021-11-01,50.642857142857146,11.810899817429428,28
Edinburgh,O3,2021-12-01,47.774193548387096,15.182686800913192,31
Edinburgh,O3,2022-01-01,57.294117647058826,10.450865429967708,17
Edinburgh,O3,2022-08-01,51.44827586206897,11.1374086717325,29
Edinburgh,O3,2022-09-01,51.1,9.848332608742142,30
Edinburgh,O3,2022-10-01,51,8.290556877154474,31
Edinburgh,O3,2022-11-01,43.56666666666667,16.654052697898123,30
Edinburgh,O3,2022-12-01,44.774193548387096,19.66165418171346,31
Edinburgh,O3,2023-01-01,53.935483870967744,12.66211010290404,31
Edinburgh,O3,2023-02-01,59.464285714285715,10.864424250079445,28
Edinburgh,O3,2023-03-01,59.6551724137931,8.969296285777885,29
Edinburgh,O3,2023-04-01,68.3,12.991111019356326,30
Edinburgh,O3,2023-05-01,61.38709677419355,9.861296126286978,31
Edinburgh,O3,2023-06-01,65.5,14.301555256636275,30
Edinburgh,O3,2023-07-01,48.096774193548384,6.900989488035647,31
Edinburgh,O3,2023-08-01,47.06896551724138,9.486573348244645,29
Edinburgh,O3,2023-09-01,53.333333333333336,7.7874050980361575,30
Edinburgh,O3,2023-10-01,51.483870967741936,11.523514995411007,31
Edinburgh,O3,2023-11-01,37.13333333333333,14.616319017084821,30
Edinburgh,O3,2023-12-01,47.70967741935484,18.776214649367954,31
Edinburgh,O3,2024-01-01,53.03225806451613,17.292549206653025,31
Edinburgh,O3,2024-02-01,57.111111111111114,15.108157076771814,27
Edinburgh,O3,2024-03-01,67.03225806451613,10.329517158666363,31
Edinburgh,O3,2024-04-01,73.9,9.820281616862255,30
Edinburgh,O3,2024-05-01,71,10.424330514074594,31
Edinburgh,O3,2024-06-01,65,7.0710678118654755,6
Edinburgh,O3,2024-08-01,53.766666666666666,4.811504412618124,30
Edinburgh,O3,2024-09-01,57.82142857142857,12.307942546804878,28
Edinburgh,O3,2024-10-01,49.483870967741936,13.935257365741846,31
Edinburgh,O3,2024-11-01,38.63333333333333,14.087126266090669,30
Edinburgh,O3,2024-12-01,52.29032258064516,14.70191268370003,31
Edinburgh,PM10,2020-01-01,6.9655172413793105,2.7964615220551443,29
Edinburgh,PM10,2020-02-01,7.517241379310345,3.1917381030132472,29
Edinburgh,PM10,2020-03-01,9.838709677419354,5.292112207134617,31
Edinburgh,PM10,2020-04-01,10.966666666666667,3.9608718417952424,30
Edinburgh,PM10,2020-05-01,7.612903225806452,3.0075174630120736,31
Edinburgh,PM10,2020-06-01,8.366666666666667,4.5218498910049645,30
Edinburgh,PM10,2020-07-01,5.827586206896552,2.5081149084698393,29
Edinburgh,PM10,2020-08-01,7.483870967741935,4.048629132121435,31
Edinburgh,PM10,2020-09-01,8.7,4.153519488088509,30
Edinburgh,PM10,2020-10-01,7.225806451612903,3.1802481812939782,31
Edinburgh,PM10,2020-11-01,8.966666666666667,5.738456679061999,30
Edinburgh,PM10,2020-12-01,6.967741935483871,2.6392406858506603,31
Edinburgh,PM10,2021-01-01,6.645161290322581,2.074421800514932,31
Edinburgh,PM10,2021-02-01,7.423076923076923,2.7881617876023896,26
Edinburgh,PM10,2021-03-01,9.612903225806452,5.245171871062878,31
Edinburgh,PM10,2021-04-01,11.866666666666667,5.888231004963723,30
Edinburgh,PM10,2021-05-01,7.967741935483871,3.8771456078558786,31
Edinburgh,PM10,2021-06-01,9.833333333333334,5.356808966059045,30
Edinburgh,PM10,2021-07-01,10.689655172413794,4.310315270834623,29
Edinburgh,PM10,2021-08-01,8.903225806451612,2.947935308083466,31
Edinburgh,PM10,2021-09-01,9.266666666666667,6.241868273219957,30
Edinburgh,PM10,2021-10-01,5.612903225806452,1.9609082819761308,31
Edinburgh,PM10,2021-11-01,6.3,2.6929025489109395,30
Edinburgh,PM10,2021-12-01,7.354838709677419,3.57349863202972,31
Edinburgh,PM10,2022-01-01,9.344827586206897,5.326992330634651,29
Edinburgh,PM10,2022-02-01,7.464285714285714,2.9625082323016465,28
Edinburgh,PM10,2022-03-01,17.967741935483872,12.453871877098415,31
Edinburgh,PM10,2022-04-01,10.6,4.774934554525329,30
Edinburgh,PM10,2022-05-01,8.451612903225806,4.559522706581025,31
Edinburgh,PM10,2022-06-01,8,2.3341542070028205,30
Edinburgh,PM10,2022-07-01,6.935483870967742,3.8551738730435816,31
Edinburgh,PM10,2022-08-01,9.137931034482758,3.2151887073149097,29
Edinburgh,PM10,2022-09-01,8.233333333333333,3.5104114439403147,30
Edinburgh,PM10,2022-10-01,7.774193548387097,2.2761030647337397,31
Edinburgh,PM10,2022-11-01,9,3.7046103615676618,30
Edinburgh,PM10,2022-12-01,7.870967741935484,3.5378141602206954,31
Edinburgh,PM10,2023-01-01,6.096774193548387,2.357326716285171,31
Edinburgh,PM10,2023-02-01,9.321428571428571,6.469607415123433,28
Edinburgh,PM10,2023-03-01,7.612903225806452,3.1056659978694716,31
Edinburgh,PM10,2023-04-01,12.066666666666666,5.495661820979773,30
Edinburgh,PM10,2023-05-01,11.96774193548387,4.868154140039405,31
Edinburgh,PM10,2023-06-01,10.966666666666667,4.972221687108,30
Edinburgh,PM10,2023-07-01,6.645161290322581,3.0391707980607054,31
Edinburgh,PM10,2023-08-01,6.838709677419355,1.7530311690240685,31
Edinburgh,PM10,2023-09-01,8.166666666666666,4.177801214575168,30
Edinburgh,PM10,2023-10-01,8.806451612903226,3.618649424289949,31
Edinburgh,PM10,2023-11-01,7.3,3.3748563187806666,30
Edinburgh,PM10,2023-12-01,7.096774193548387,3.8674266957903454,31
Edinburgh,PM10,2024-01-01,7.903225806451613,3.102201784858376,31
Edinburgh,PM10,2024-02-01,8.448275862068966,3.4701400434539043,29
Edinburgh,PM10,2024-03-01,10.870967741935484,8.044633554877317,31
Edinburgh,PM10,2024-04-01,7.066666666666666,2.6252531350306976,30
Edinburgh,PM10,2024-05-01,15.096774193548388,9.977824875558392,31
Edinburgh,PM10,2024-06-01,8.454545454545455,3.4745830358083647,11
Edinburgh,PM10,2024-08-01,8.2,3.8273066067495773,30
Edinburgh,PM10,2024-09-01,10.44,5.515735067362584,25
Edinburgh,PM10,2024-10-01,8.709677419354838,5.126360296786904,31
Edinburgh,PM10,2024-11-01,10.066666666666666,6.448380354430274,30
Edinburgh,PM10,2024-12-01,6.290322580645161,3.4946964425835976,31
Edinburgh,PM2.5,2020-01-01,3.8620689655172415,1.9406209965412486,29
Edinburgh,PM2.5,2020-02-01,4.137931034482759,2.0826517768569284,29
Edinburgh,PM2.5,2020-03-01,5.32258064516129,3.3104591501702956,31
Edinburgh,PM2.5,2020-04-01,6.533333333333333,3.266690124241369,30
Edinburgh,PM2.5,2020-05-01,4.451612903225806,1.670103982340009,31
Edinburgh,PM2.5,2020-06-01,5.133333333333334,3.159368480472371,30
Edinburgh,PM2.5,2020-07-01,2.586206896551724,1.2105854952787558,29
Edinburgh,PM2.5,2020-08-01,4.387096774193548,3.062432794961534,31
Edinburgh,PM2.5,2020-09-01,4.2,2.0577858874578494,30
Edinburgh,PM2.5,2020-10-01,3.4838709677419355,1.411168965596383,31
Edinburgh,PM2.5,2020-11-01,5.666666666666667,5.005743827281598,30
