City,Period,RQ2_Train_R2,RQ2_Test_R2,RQ2_Test_RMSE,RQ3_Train_R2,RQ3_Test_R2,RQ3_Test_RMSE,R2_Improvement,RMSE_Improvement,Pct_Improvement
Edinburgh,Pandemic,0.019754749833436936,1,2.9119304323721567,0.8746112421729864,0.8135475180021399,0.36335789901593535,-0.18645248199786013,2.5485725333562215,-18.645248199786014
Edinburgh,Post-Pandemic,0.03987901471899148,0.12623783416209844,4.796994190129644,0.8864073466862076,0.9345536526378277,1.744521117773665,0.8083158184757293,3.052473072355979,640.3118556658646
London,Pandemic,0.363424038628004,0.5012606283572302,3.554744310529729,0.9103403766119499,0.9028590271284057,1.5471707440791396,0.40159839877117554,2.0075735664505894,80.11768250926164
London,Post-Pandemic,0.38708814801144015,0.6923997194688175,3.142081169189672,0.9329800916441989,0.9156061914784878,1.7040508589702994,0.22320647200967025,1.4380303102193728,32.23664968855067
Manchester,Pandemic,0.2475430735241913,0.19683150752912773,6.1484884885902416,0.8313191134632497,0.9537765964602763,1.7252622024329936,0.7569450889311486,4.423226286157248,384.56500101699095
Manchester,Post-Pandemic,0.3854432538456213,1,1.2091522279650495,0.9032517502441627,1,1.2055987050650816,0,0.003553522899967909,0
Sheffield,Pandemic,0.2509438133614712,1,2.3830379888656124,0.8413064469042532,1,0.8930497498054032,0,1.4899882390602093,0
Sheffield,Post-Pandemic,0.3896747995891222,NA,0.7587605491522362,0.9398075981435884,NA,0.4263878135160001,NA,0.33237273563623615,NA
