Site Type,Urban Background,,,,,,,,,,,,Urban Background,,,,,,,,,,,,Urban Background,,,,,,,,,,Urban Background,,,,,,,
Zone,Central Scotland,,,,,,,,,,,,Greater London,,,,,,,,,,,,North West & Merseyside,,,,,,,,,,Yorkshire & Humberside,,,,,,,
Agglomeration,Edinburgh Urban Area,,,,,,,,,,,,Greater London Urban Area,,,,,,,,,,,,Greater Manchester Urban Area,,,,,,,,,,Sheffield Urban Area,,,,,,,
Local Authority,Edinburgh,,,,,,,,,,,,Kensington,,,,,,,,,,,,Manchester,,,,,,,,,,Sheffield,,,,,,,
Date,Ozone,Status,Nitrogen dioxide,Status,Sulphur dioxide,Status,Carbon monoxide,Status,PM10 particulate matter (Hourly measured),Status,PM2.5 particulate matter (Hourly measured),Status,Ozone,Status,Nitrogen dioxide,Status,Sulphur dioxide,Status,Carbon monoxide,Status,PM10 particulate matter (Hourly measured),Status,PM2.5 particulate matter (Hourly measured),Status,Ozone,Status,Nitrogen dioxide,Status,Sulphur dioxide,Status,PM10 particulate matter (Hourly measured),Status,PM2.5 particulate matter (Hourly measured),Status,Ozone,Status,Nitrogen dioxide,Status,PM10 particulate matter (Hourly measured),Status,PM2.5 particulate matter (Hourly measured),Status
1/7/2020,71,V ugm-3,6,V ugm-3,No data,V ugm-3,No data,V mgm-3,9,V ugm-3 (FIDAS),5,V ugm-3 (Ref.eq),No data,V ugm-3,21,V ugm-3,2,V ugm-3,0.11,V mgm-3,15,V ugm-3 (FIDAS),9,V ugm-3 (Ref.eq),27,V ugm-3,32,V ugm-3,1,V ugm-3,12,V ugm-3 (FIDAS),7,V ugm-3 (Ref.eq),52,V ugm-3,17,V ugm-3,10,V ugm-3 (FIDAS),6,V ugm-3 (Ref.eq)
1/8/2020,68,V ugm-3,16,V ugm-3,No data,V ugm-3,No data,V mgm-3,10,V ugm-3 (FIDAS),6,V ugm-3 (Ref.eq),No data,V ugm-3,28,V ugm-3,1,V ugm-3,0.13,V mgm-3,19,V ugm-3 (FIDAS),11,V ugm-3 (Ref.eq),27,V ugm-3,43,V ugm-3,1,V ugm-3,28,V ugm-3 (FIDAS),13,V ugm-3 (Ref.eq),50,V ugm-3,26,V ugm-3,22,V ugm-3 (FIDAS),12,V ugm-3 (Ref.eq)
1/9/2020,36,V ugm-3,41,V ugm-3,No data,V ugm-3,No data,V mgm-3,10,V ugm-3 (FIDAS),6,V ugm-3 (Ref.eq),No data,V ugm-3,17,V ugm-3,3,V ugm-3,0.1,V mgm-3,8,V ugm-3 (FIDAS),4,V ugm-3 (Ref.eq),30,V ugm-3,35,V ugm-3,1,V ugm-3,10,V ugm-3 (FIDAS),5,V ugm-3 (Ref.eq),No data,V ugm-3,19,V ugm-3,7,V ugm-3 (FIDAS),5,V ugm-3 (Ref.eq)
1/10/2020,54,V ugm-3,24,V ugm-3,No data,V ugm-3,0.086,V mgm-3,7,V ugm-3 (FIDAS),4,V ugm-3 (Ref.eq),No data,V ugm-3,28,V ugm-3,3,V ugm-3,0.16,V mgm-3,9,V ugm-3 (FIDAS),6,V ugm-3 (Ref.eq),26,V ugm-3,46,V ugm-3,1,V ugm-3,16,V ugm-3 (FIDAS),7,V ugm-3 (Ref.eq),48,V ugm-3,24,V ugm-3,10,V ugm-3 (FIDAS),5,V ugm-3 (Ref.eq)
1/11/2020,73,V ugm-3,10,V ugm-3,No data,V ugm-3,0.059,V mgm-3,2,V ugm-3 (FIDAS),1,V ugm-3 (Ref.eq),68,V ugm-3,11,V ugm-3,3,V ugm-3,0.11,V mgm-3,12,V ugm-3 (FIDAS),6,V ugm-3 (Ref.eq),41,V ugm-3,29,V ugm-3,1,V ugm-3,6,V ugm-3 (FIDAS),3,V ugm-3 (Ref.eq),63,V ugm-3,13,V ugm-3,5,V ugm-3 (FIDAS),3,V ugm-3 (Ref.eq)
1/12/2020,66,V ugm-3,13,V ugm-3,No data,V ugm-3,0.046,V mgm-3,6,V ugm-3 (FIDAS),3,V ugm-3 (Ref.eq),61,V ugm-3,15,V ugm-3,1,V ugm-3,0.11,V mgm-3,6,V ugm-3 (FIDAS),3,V ugm-3 (Ref.eq),31,V ugm-3,31,V ugm-3,1,V ugm-3,7,V ugm-3 (FIDAS),4,V ugm-3 (Ref.eq),52,V ugm-3,23,V ugm-3,5,V ugm-3 (FIDAS),3,V ugm-3 (Ref.eq)
1/13/2020,72,V ugm-3,10,V ugm-3,No data,V ugm-3,0.045,V mgm-3,6,V ugm-3 (FIDAS),3,V ugm-3 (Ref.eq),60,V ugm-3,16,V ugm-3,4,V ugm-3,0.11,V mgm-3,8,V ugm-3 (FIDAS),5,V ugm-3 (Ref.eq),38,V ugm-3,32,V ugm-3,1,V ugm-3,10,V ugm-3 (FIDAS),5,V ugm-3 (Ref.eq),59,V ugm-3,18,V ugm-3,9,V ugm-3 (FIDAS),5,V ugm-3 (Ref.eq)
1/14/2020,71,V ugm-3,10,V ugm-3,No data,V ugm-3,0.046,V mgm-3,7,V ugm-3 (FIDAS),3,V ugm-3 (Ref.eq),67,V ugm-3,13,V ugm-3,2,V ugm-3,0.12,V mgm-3,9,V ugm-3 (FIDAS),5,V ugm-3 (Ref.eq),36,V ugm-3,36,V ugm-3,2,V ugm-3,9,V ugm-3 (FIDAS),5,V ugm-3 (Ref.eq),61,V ugm-3,16,V ugm-3,8,V ugm-3 (FIDAS),4,V ugm-3 (Ref.eq)
1/15/2020,73,V ugm-3,7,V ugm-3,No data,V ugm-3,0.04,V mgm-3,9,V ugm-3 (FIDAS),5,V ugm-3 (Ref.eq),53,V ugm-3,25,V ugm-3,3,V ugm-3,0.11,V mgm-3,9,V ugm-3 (FIDAS),4,V ugm-3 (Ref.eq),27,V ugm-3,44,V ugm-3,3,V ugm-3,16,V ugm-3 (FIDAS),7,V ugm-3 (Ref.eq),63,V ugm-3,14,V ugm-3,10,V ugm-3 (FIDAS),4,V ugm-3 (Ref.eq)
1/16/2020,No data,V ugm-3,No data,V ugm-3,No data,V ugm-3,No data,V mgm-3,6,V ugm-3 (FIDAS),3,V ugm-3 (Ref.eq),51,V ugm-3,20,V ugm-3,2,V ugm-3,0.11,V mgm-3,12,V ugm-3 (FIDAS),6,V ugm-3 (Ref.eq),35,V ugm-3,32,V ugm-3,2,V ugm-3,11,V ugm-3 (FIDAS),5,V ugm-3 (Ref.eq),52,V ugm-3,20,V ugm-3,15,V ugm-3 (FIDAS),6,V ugm-3 (Ref.eq)
